"","country","gdp","lifeExp","X","Y","Z"
"48","Cook Islands",-0.539649497049025,-0.483071252156017,0.91164853321901,-0.303559670997154,-0.277035156656566
"49","Costa Rica",-0.655830051779609,-0.15796802008805,-0.102940441036437,-0.979412873099072,0.17364817766693
"50","Cote d'Ivoire",-0.925566622896479,-0.48619529980603,-0.986499799769905,-0.0863075490504604,0.139173100960066
"51","Croatia",-0.488796408520224,-0.190354729898623,-0.67940466193878,0.188415588104301,0.70916068101324
"52","Cuba",-0.481734341494492,-0.165474724513263,-0.168965836964814,-0.911658075216858,0.374606593415912
"53","Cyprus",-0.273322648383738,-0.158968164839314,-0.686998710217504,0.446142178932143,0.573576436351046
"54","Czech Rep.",-0.313546711747868,-0.183140202591757,-0.624107838921811,0.167229191429033,0.763232469782529
"55","Denmark",0.0799014404734506,-0.164058789247429,-0.550697506767399,0.0971028286519749,0.829037572555042
"56","Djibouti",-0.93485085618666,-0.361694134645954,-0.722476276497293,0.662027534642501,0.199367934417197
"57","Dominica",-0.745836310663895,-0.381933018882194,-0.462266169650454,-0.845513831198375,0.267238376078257
"58","Dominican Rep.",-0.709314194463998,-0.231326951955997,-0.313026606121021,-0.892199372709775,0.325568154457157
"59","Ecuador",-0.736737936646881,-0.196838814409623,-0.216307764773294,-0.975701273971031,-0.0348994967025007
"60","Egypt",-0.725108948919715,-0.256555322367078,-0.7716342848848,0.445503262094184,0.453990499739547
"61","El Salvador",-0.804547271421357,-0.240350729880316,-0.0183582217068247,-0.970821782521519,0.239098394552332
"62","Equatorial Guinea",-0.0943588039221557,-0.459899359154836,-0.984207834737688,0.173542395888912,0.0348994967025011
"63","Eritrea",-0.96999122814286,-0.349883436515867,-0.750665354967537,0.607876818725374,0.258819045102521
"64","Estonia",-0.343543910390243,-0.219651104803607,-0.462913155346541,0.225777831538359,0.857167300702112
"65","Ethiopia",-0.966142907395053,-0.341084410221044,-0.780341887121718,0.609669900169326,0.139173100960066
"66","Faeroe Islands",0.0245335323755909,-0.280794785608371,-0.465972192948173,-0.0572141911041051,0.882947592858927
"67","Falkland Islands (Malvinas)",-0.32292445725463,-0.269557204133502,-0.317311957916648,-0.531592362092563,-0.785316930880745
"68","Fiji",-0.799798306578729,-0.271692344613727,0.950477158362114,0.0331913937543348,-0.309016994374947
"69","Finland",-0.0313570775669264,-0.151169283295755,-0.394005376803361,0.192169262337171,0.898794046299167
"70","France",-0.0657754921497039,-0.136841366915296,-0.694235203348755,0.0242432275091983,0.719339800338651
"71","French Guiana",-0.787238589729403,-0.189534386450958,-0.600349032002767,-0.796690074084098,0.0697564737441255
"72","French Polynesia",-0.307322689173184,-0.199243656845245,0.739942111693848,-0.620885153014846,-0.258819045102521
"73","Gabon",-0.508486747591176,-0.342826235349649,-0.978896359117011,0.203610735515118,-0.0174524064372835
"74","Gambia",-0.957814762877236,-0.395215840185489,-0.937005267079246,-0.259854558474419,0.233445363855905
"75","Georgia",-0.820830723061312,-0.221224366210089,-0.539059219483314,0.511546399967593,0.669130359922665
"76","Germany",0.0720366575675688,-0.148831866348982,-0.612090571504331,0.11344428193421,0.782608156852414
"77","Ghana",-0.903317968558628,-0.369212076652642,-0.989664824190241,-0.0345598571996384,0.139173100960066
"78","Gibraltar",0.0566600978954745,-0.14594380790994,-0.804128626054479,-0.0753045882657829,0.589666322377204
"79","Greece",-0.369106879197686,-0.14852845164916,-0.720557188104686,0.29112400120833,0.629320391049838
"80","Greenland",0.0877402618597711,-0.252700831921198,-0.236720751370257,-0.198632295166791,0.951056516295154
"81","Grenada",-0.69788896509717,-0.238451578611064,-0.464027321452271,-0.860592459700791,0.209902985333635
"82","Guadeloupe",-0.797990944184296,-0.146539399728108,-0.456868595228872,-0.844373619673211,0.279829014030992
"83","Guam",-0.997665308705107,-0.17005965775501,0.794131513358861,0.56151381600671,0.232502417028185
"84","Guatemala",-0.816830653599105,-0.245969520617751,0.00420461770355015,-0.96362128014123,0.267238376078257
"85","Guernsey",0.259401495947646,-0.0672807375858558,-0.647803846805499,-0.0263959802565105,0.761349741111334
"86","Guinea",-0.96847590476151,-0.425624735656485,-0.966714060826796,-0.170457771554009,0.190808995376545
"87","Guinea-Bissau",-0.968617046826997,-0.446088371522222,-0.944818029471471,-0.253163227991245,0.207911690817759
"88","Guyana",-0.835902274861668,-0.311192443497892,-0.513078199540776,-0.853905520337057,0.0871557427476581
"89","Haiti",-0.957994341684049,-0.347074041147149,-0.285634165314281,-0.901342609892917,0.325568154457157
"90","Honduras",-0.884723916748981,-0.226663355643926,-0.0589683609939483,-0.964124179913514,0.258819045102521
"91","Hong Kong- China",0.334692938232092,-0.119220839162701,0.378909174040062,0.844424693152308,0.378648617352433
"92","Hungary",-0.415662227036632,-0.217639577719606,-0.640868826338821,0.233257176856447,0.731353701619171
"93","Iceland",0.0232984863989285,-0.133739794428232,-0.401933851733823,-0.130596225011076,0.90630778703665
"94","India",-0.865185475024497,-0.309855171302382,-0.21138484580494,0.915608359793373,0.342020143325669
"95","Indonesia",-0.760740075934811,-0.260196298764936,0.498097349045873,0.862729915662821,-0.0871557427476582
"96","Iran",-0.625280451841451,-0.224067474323231,-0.51036808462243,0.677281323818523,0.529919264233205
"97","Iraq",-0.618169848418073,-0.276086238970401,-0.603289118895764,0.58258953008089,0.544639035015027
"98","Ireland",0.0651796218566081,-0.149236419282077,-0.595958200716442,-0.0837564629764242,0.798635510047293
"99","Isle of Man",0.0283471986811596,0.101282984537182,-0.582448618901743,-0.0458397004452088,0.811573981965012
"100","Israel",-0.20010206486302,-0.13694250514857,-0.700569180208043,0.486002133341412,0.522498564715949
"101","Italy",-0.162640908598053,-0.130379757567246,-0.715015985721363,0.16288515099187,0.67986805171979
"102","Jamaica",-0.782162848424604,-0.229944729434588,-0.205552512232488,-0.927187464876182,0.31316380648375
"103","Japan",-0.0804062569417975,-0.116950847704778,0.601216793093016,0.54133803200073,0.587785252292473
"104","Jersey",0.608443480424882,0.157470891911528,-0.652754687208963,-0.0241255675795123,0.757185099771314
"105","Jordan",-0.703341483986352,-0.226247565129356,-0.693462913290509,0.503830298100049,0.515038074910054
"106","Kazakhstan",-0.417426885959558,-0.308484186362448,-0.250660736998416,0.620407094812418,0.743144825477394
"107","Kenya",-0.943825774258929,-0.362649329071318,-0.787890735752132,0.615567707100943,0.0174524064372834
"108","Kiribati",-0.953870907105463,-0.281862355848483,0.981060262190407,-0.17298739392509,-0.0871557427476582
"109","Korea- Dem. Rep.",-0.963894664811989,-0.269568441714977,0.461017054271146,0.611790294549219,0.642787609686539
"110","Korea- Rep.",-0.217050275294221,-0.139931701820885,0.486178494353498,0.633600149571214,0.601815023152048
"111","Kosovo",-0.780172154440664,0.236133962235613,-0.687389624675454,0.2638641549694,0.676661814801768
"112","Kuwait",1,-0.221370454769262,-0.585198280611689,0.644253063496131,0.492423560103467
"113","Kyrgyzstan",-0.918670206229526,-0.297280317632004,-0.195333212882982,0.728993474884957,0.656059028990507
"114","Laos",-0.879515778062722,-0.288559954407505,0.246151539386042,0.918650051349999,0.309016994374947
"115","Latvia",-0.421723947035071,-0.245396403962533,-0.493610598558246,0.230174402254183,0.838670567945424
"116","Lebanon",-0.571175550263714,-0.157102726314485,-0.673436036211855,0.486293214790759,0.556778963664877
"117","Lesotho",-0.933381453316711,-0.500534453767963,-0.76668827149776,0.411956468334706,-0.492423560103467
"118","Liberia",-0.979019579927442,-0.375684923582166,-0.979945615346446,-0.163986656029971,0.113203213767907
