"","SHORT_NAME","LAT","LONG","X","Y","Z"
"205","Singapore",88.633333,103.8,-0.238465603045344,0.970858025735723,0.0238505771157415
"206","Sint Maarten",71.95833,296.93333,0.430682378558117,-0.847698811210215,0.309708595735268
"207","Slovakia",41.333333,19.5,0.622556845183416,0.220458941335566,0.750880036823775
"208","Slovenia",43.75,15.166667,0.667426871258855,0.180918981422481,0.722363962059756
"209","Solomon Islands",98,159,-0.924494885962316,0.354880337295101,-0.139173100960065
"210","Somalia",84,48,0.665465038884934,0.739073800366903,0.104528463267653
"211","South Africa",120,26,0.778378476865286,0.379640549405458,-0.5
"212","South Georgia and South Sandwich Islands",146,327,0.468978629944862,-0.304558283333559,-0.829037572555042
"213","South Korea",53,127.5,-0.486178494353498,0.633600149571214,0.601815023152048
"214","South Sudan",82,30,0.857597304086755,0.495134034370785,0.139173100960066
"215","Spain",50,356,0.764178397356799,-0.0534365590832617,0.642787609686539
"216","Sri Lanka",83,81,0.15526842625975,0.980326261478707,0.121869343405147
"217","Sudan",74,30,0.832477048367497,0.480630847969159,0.275637355816999
"218","Suriname",86,304,0.557830737662829,-0.827018078695581,0.0697564737441255
"219","Svalbard",12,20,0.19537308163657,0.0711099862925722,0.978147600733806
"220","Swaziland",116.5,31.5,0.763056981162475,0.467601919452042,-0.446197813109809
"221","Sweden",28,15,0.453474707203182,0.121508181583032,0.882947592858927
"222","Switzerland",43,8,0.675361198904008,0.0949158266195772,0.731353701619171
"223","Syria",55,38,0.645500619738655,0.50432035610299,0.573576436351046
"224","Taiwan",66,121,-0.47051069384707,0.783061293996184,0.4067366430758
"225","Tajikistan",51,71,0.253013976415379,0.734805942509557,0.629320391049838
"226","Tanzania",96,35,0.814664643681084,0.570434324618422,-0.104528463267653
"227","Thailand",75,100,-0.167731259496521,0.951251242564198,0.258819045102521
"228","Timor-Leste",98.833333,125.75,-0.577320003953345,0.801948074656206,-0.153560732580025
"229","Togo",82,1.166667,0.99006278415764,0.0201626237177004,0.139173100960066
"230","Tokelau",99,188.25,-0.977467136015597,-0.141725989702113,-0.156434465040231
"231","Tonga",110,185,-0.936116806662859,-0.0818996083190891,-0.342020143325669
"232","Trinidad and Tobago",79,299,0.475902302030743,-0.858550479707066,0.190808995376545
"233","Tromelin Island",105.866667,54.416667,0.559716854154028,0.782284902920377,-0.273399659543999
"234","Tunisia",56,9,0.81883074432791,0.1296900491609,0.559192903470747
"235","Turkey",50.940988,34.911546,0.636756241323164,0.444398096266167,0.630120481472396
"236","Turkmenistan",50,60,0.383022221559489,0.663413948168938,0.642787609686539
"237","Turks and Caicos Islands",68.266667,288.416667,0.293468242747072,-0.881342018087889,0.370287236684864
"238","Tuvalu",98,178,-0.989664824190241,0.0345598571996382,-0.139173100960065
"239","Uganda",88,33,0.838159672495552,0.54430725563055,0.0348994967025011
"240","Ukraine",41,32,0.556369610501633,0.3476583179362,0.754709580222772
"241","United Arab Emirates",66,54,0.536968547301099,0.739073800366903,0.4067366430758
"242","United Kingdom",36,356,0.586353436959872,-0.0410018265187237,0.809016994374947
"243","United States",50.171825,261.4205,-0.114566765856642,-0.759374951764599,0.640487422822387
"244","Uruguay",123,304,0.468978629944861,-0.695289411822833,-0.544639035015027
"245","US Minor Outlying Islands",84.1188889,197.9275,-0.946438977301337,-0.306193186014133,0.102464604050929
"246","US Virgin Islands",71.6517109,295.0165193,0.40138056534348,-0.860115869379991,0.314792523744213
"247","Uzbekistan",48.292458,63.84911,0.329032194305571,0.670131052851347,0.665328630914683
"248","Vanuatu",106,167,-0.936624620946985,0.216236832001696,-0.275637355816999
"249","Vatican City",48.1,12.45,0.726808698891595,0.160464304655331,0.667832555471047
"250","Venezuela",82,294,0.402778310025102,-0.904654896047372,0.139173100960066
"251","Vietnam",73.833333,107.833333,-0.294138805291626,0.914307261487829,0.278432388224217
"252","Wallis and Futuna",103.3,183.8,-0.971039308167781,-0.0644963596858129,-0.230049737188104
"253","West Bank",58.333333,35.25,0.695057240508806,0.491217891894799,0.524976585286156
"254","Western Sahara",65,346.5,0.881266430736622,-0.211573351110212,0.422618261740699
"255","Yemen",74.5,47.5,0.651019297947986,0.710462894210786,0.267238376078257
"256","Zambia",105,30,0.836516303737808,0.482962913144534,-0.258819045102521
"257","Zimbabwe",109,29,0.826969179685533,0.458396501572162,-0.325568154457156
