External debt stocks (% of GNI),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8992013910942,45.491996641755,42.2835527005573,43.8591982263295,50.0794761049714,53.1993199839433,55.4716149112992,56.951053558086,56.1153544414798,43.4011030710636,54.5935904887051,48.8383151404367,
Botswana,,,,,,,,,,,17.2334973122397,25.449772457064,45.2315476959696,47.0112966197024,43.2943248349289,37.4509885195031,43.864414160607,39.8633031280086,21.610229899086,15.8025749522615,13.1897704127167,14.1216403213899,19.4697904730529,20.2785663856674,23.3463622617951,35.1595524994523,32.2145726717606,31.5628922523448,22.9839273872873,19.3276792885737,15.0018748484344,15.2951897873774,14.2391688739374,14.9061235666194,17.018423385946,15.1257429644471,13.7788082755586,11.4151927834288,10.0218437379608,8.99649741162385,8.57454181065142,6.78188782220231,9.06013986275357,6.97092267545955,5.61140845462775,4.75068337312355,3.64578120499935,3.54942198175903,3.37804246168775,14.0468783468466,11.5673695186253,
Brazil,,,,,,,,,,,13.7423027456611,15.2854406982579,19.8329386637829,18.7165677285589,21.1261282168887,22.3997144610795,22.1749326726733,24.2650364786677,27.8294353770214,28.0129125888851,31.4680864292792,32.2388831646418,35.1504691050785,51.4633763906802,52.682869576025,49.0894006297333,42.5623648698572,42.3537690454466,37.017083630321,25.4970007290824,26.6264333231481,30.3358647905928,33.6695515261644,33.6901549810902,28.3728146387287,21.1732875973621,21.9075140076326,23.2106263105246,29.2507261581652,42.9714978169515,38.5389135366683,42.8717243851944,47.4851362142082,43.9633361736278,34.1406144524375,21.884614814449,18.2165203001428,17.7602126407625,16.2472775637869,17.7232255750526,16.9326011437862,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,3.89157888975455,6.68377851589846,10.3007422971385,14.8732753978703,22.0115605381992,29.141081977483,29.4031536996863,39.6218703238759,48.0043049595083,57.0656144666262,119.41602171919,116.043720346965,114.459265272565,103.324727655851,82.1298804400353,122.067017085321,114.470058122096,89.2587891288559,84.4840298702639,89.1265609043965,75.5513048377115,70.3246150017924,63.5446784089236,61.2241342810486,54.1768949897758,64.8665141487534,84.795832312611,98.6726347837216,114.070206370623,104.810138114059,
Burkina Faso,,,,,,,,,,,4.5560837676323,4.92896733472085,3.47025368772643,4.60177979758289,6.31820419276977,6.73941149877012,8.82257633313097,14.7864173909635,17.9372140408725,16.9629491314482,17.1692397762265,18.5815852952101,20.1725211082738,25.0107993404364,28.1777909921786,33.1467449881465,31.4938191002932,35.0438169979392,32.4686065851791,27.5435521228942,26.8920732659912,30.8561278411752,46.4225280031592,48.0750688543227,60.1427092223221,53.624763435843,50.0586995644576,53.2134539458009,52.0542304067775,52.6067689399721,54.5732191994138,53.1891730415026,46.8611844788213,40.5103787048847,38.9951998610276,36.8570217862317,19.5042665839414,21.4695328127318,21.0520120472973,22.7166759757471,23.3065773798168,
Burundi,,,,,,,,,,,6.36253904105929,5.59058772785237,2.92897160417708,2.62853328717444,2.80664803730906,4.69998675778134,5.11586242381485,8.79061282235846,12.5351322015185,17.633242843147,17.9776093496876,18.4871517091953,22.6176464088398,28.6630304727795,35.7251275386604,40.2170685046052,48.2973712363917,69.7682968310918,75.5749161915775,81.077501873275,81.1786119942654,83.3340862797459,95.998083409919,114.731770434674,123.395046543243,117.604606768739,132.249828828883,111.303847766944,126.693279134675,142.440997408884,153.17633313425,165.591390403447,197.539025671349,230.130628070466,215.095476552158,170.294868913188,155.138766428781,149.473939729943,123.493093422834,38.5083780475951,33.8003738582329,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09739126476444,3.02280152521758,156.09889730034,165.515764351235,113.414476492243,92.4468016531747,,,67.5511844032677,68.7934782161481,70.0066445796181,80.3820189990791,73.582088545974,74.3624970285417,70.1733432644424,70.8008566544906,71.2583199860915,67.1207127671923,58.5329742758893,50.6053357817509,45.5155985493268,42.8747901347889,43.8084485139053,43.3833031155233,
Cameroon,,,,,,,,,,,14.2395180502886,16.1295917744524,16.849100685066,17.5978664064656,16.4967552302813,18.0317767736559,22.4689826885827,42.7064490178057,37.9175808313361,39.67038605147,45.7961134973032,38.5139171470706,40.7663742753286,41.6554318594229,38.4628911758923,40.0496283124145,39.4639450333159,37.7858965069054,38.6622719430336,49.1150076843383,61.4830374520356,58.0673922136192,69.93697124644,59.9543627135074,106.789456134938,133.446443094098,120.800835847913,115.45176842286,121.287919157864,105.419792336556,109.073874429357,103.724827197775,96.5415232200346,83.1523881352393,66.9869350265317,45.1024447222185,18.3151268714685,14.5759607977099,11.7722336611334,13.3534985529095,13.4550115489323,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0379385592414,50.3477156006949,42.6722052903598,42.4317183350998,39.2884610606482,38.1661095379911,35.9550880696307,41.0473871804449,43.1949532506004,44.120970927489,40.9053423575751,41.4445398506867,46.2099228848175,56.9824593933447,61.3291542645499,63.4892446552418,64.021603523632,56.3999638348002,51.0732494025426,49.3532142952095,49.2267570599122,44.5909161797872,41.5831182938762,45.7911959620318,54.3005897001992,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,,,,,,12.9489668058688,14.3760878835176,16.1570423064108,20.9467159891883,24.5800799495296,21.012214865749,20.9956168350651,26.0469316466681,23.2699297308673,22.6965076712161,24.3444476583807,33.4459419449321,34.2044730791463,39.800607649336,41.9672126234025,40.0588352113825,41.6932000557415,52.0214509045752,53.2764768265907,55.7936234207324,47.6772844621498,57.2089234088851,57.391908744515,68.3624174938993,106.711540975095,85.9271621811613,88.9181704696972,89.4146801337229,89.3383753598692,87.3671498797649,90.8306569257771,85.8297107929548,103.846667594799,92.5428332734727,85.0821907419127,75.6376516983532,68.5411572264778,56.9369670580517,48.6558315854214,19.9581773405556,19.1546600058297,
Chad,,,,,,,,,,,7.48469264376964,9.3724338922562,6.21104606071092,7.36605924721342,11.5812485828733,16.3984665822547,17.8307324763368,21.9505509883792,25.0887366627251,30.7801532097212,27.3814880380893,29.3110579295119,26.1290211323167,26.0520879955933,21.0570839181578,20.9048704242367,24.6902671749827,30.0019831224347,26.7680723524266,27.9915888900651,29.8806808629113,32.8896684512764,34.047105314855,47.6896830624045,68.0635063643294,58.4298471522769,59.265026718872,62.6181586451519,59.0591409770872,71.4067602075478,79.5835834248783,64.3670197735011,65.6408028703261,67.0148172651601,44.0694559209498,37.0337514150106,34.9076584753459,30.8917061786048,26.1702518389287,28.5107365944787,25.7407279756251,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,34.9732439331574,29.6484524995296,31.8459363699536,24.3391348967692,34.3229121225241,79.5639675839431,58.9563125416851,42.8146427651129,49.5150520017841,46.7310126388876,45.515716466801,50.4493275152449,77.6311939307446,99.7382274985401,115.01980707736,141.528507060559,133.955752599802,112.216847617597,86.4044915778658,68.3222893372498,64.5179267551754,52.0746379846248,44.9708402808486,43.4771492102285,42.1191704952718,32.1086396802533,37.4809225343073,33.7315572038391,43.4867008590209,49.1666676390431,51.4827428728084,58.4290414002762,63.9149199631338,61.5200239937294,49.8312386254073,42.1616733147394,39.1011084954094,38.5815772137808,41.5200076528008,48.9871381753484,45.9225299584226,
China,,,,,,,,,,,,,,,,,,,,,,2.98860162558475,4.10597820430032,4.18502407573042,4.66544377661363,5.42944815166471,7.9646127424599,13.0810922910193,13.7182354067457,13.0540709218507,15.4476709743982,15.8448078975573,17.1260946649623,19.5638424096342,17.9969377167381,16.4876171659717,15.2690609451591,15.5787353689527,14.3577822252762,13.9151789103165,12.277211044152,14.0745277906039,12.8484657391282,12.6250867555949,12.7348067442239,12.4785073667001,11.8309545290565,10.599725071253,8.34126966867912,8.58463912307625,9.28751517917525,
Colombia,,,,,,,,,,,31.9763664284975,32.9664801642716,33.4289086954227,31.4490209507482,27.5137544294839,29.4223260050058,26.3138483262604,26.355451312096,22.2599512421875,21.2166025581278,20.9137380210575,24.2444941898593,27.2819430210461,30.5588408729076,32.7852116624435,42.9413953088379,45.7581561470328,49.0875157639554,45.211729571111,45.0047417361919,45.0919209213572,43.6484343746922,36.5945150163916,35.1138166644466,27.3363765901684,27.543044620485,30.3821851713575,30.6240900266366,34.2193828242072,40.6584687393689,34.612316285136,37.6949382105237,34.7995597854575,40.4290967599578,33.5830231400084,26.7482415721871,24.2538292375518,21.9132670686437,19.8147044189816,23.026858383074,22.8416276853359,
Comoros,,,,,,,,,,,4.74697233246961,4.2432516638599,4.451425205177,3.99093012833332,7.21554893853967,7.90849924740011,35.7977000478159,43.7499871033329,40.1525378234798,43.4078295831972,35.426114901228,47.8930385843291,64.0392801346949,77.2868188466431,98.0625741710984,118.441324359229,103.477260977232,104.03734569479,97.4517575672371,88.5044469811051,75.306469461713,74.0638882192096,70.6136430402059,71.6851664076223,108.836495696359,90.66832532084,96.3000119174135,105.668402288888,106.603358558511,102.686417332454,111.775515139753,108.286115423905,105.745258257369,87.4676357683827,81.5754613004097,72.2343765966184,69.9591078464722,61.4077437619175,52.6739099421455,51.9191046017947,90.0834089423826,
