"Energy use, per capita (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4703536166454,4.34846262507357,3.62072768206734,3.07669704072663,2.61573648186174,2.42766676476359,2.50134616141732,2.50560274785015,2.46539666302513,2.40882222222222,2.46719290354823,2.48479969429082,2.54424413098237,2.63308904788835,2.73583457792986,2.74900412670702,2.9416214744413,2.89195557616986,2.93119579254322,2.8151867045335,2.92202897787144,
Belgium,2.5191589786146,2.57053197600858,2.80973112531557,3.04322066100668,3.02171140398927,3.11601602211912,3.05130320125082,3.18292345750038,3.59000425834692,3.87704436394157,4.13519976958327,4.09995531967727,4.47392951272846,4.72078411204592,4.61749859476963,4.31793565765711,4.62223311805686,4.58952440999606,4.82713683391917,4.97668551037114,4.74357501317038,4.41536215402361,4.20790239504609,4.15636830933325,4.33581847544669,4.47347374417598,4.63387296648906,4.72850329586918,4.77127632284836,4.79869319823295,4.84418581855872,5.05590042307021,5.09294677097165,4.95429092739087,5.22541157457445,5.30405183642074,5.58678881602247,5.57951075727968,5.65969222017664,5.68897196565093,5.70743402024143,5.67390286558104,5.45473006551477,5.70910357452049,5.65096534092201,5.60042789997955,5.50934389386078,5.36671814562805,5.46958157597596,5.28891252001923,5.58558350775093,5.08247574491279
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.562,,,,,,,,,,,,,,0.548478414720453,0.551747772446881,0.570696714512286,0.571428571428571,,,,
Benin,,,,,,,,,,,,0.379885537005542,0.389498959285078,0.389181662875783,0.3886980125662,0.390794216452502,0.3698777085804,0.373613022194637,0.378566464192825,0.375203907285842,0.374607611302124,0.364085016886085,0.366528604480435,0.366529766527878,0.365284548283603,0.372608314235916,0.366037359778607,0.361183537803073,0.360398483214745,0.352077090348924,0.348055167911585,0.34184022665232,0.338327458946995,0.334353325790341,0.330220965110647,0.326841959880314,0.369425032871091,0.372652695941763,0.357644099443873,0.362777898202,0.304192665941474,0.313709311108787,0.32752996727436,0.334662949324603,0.336787787485376,0.327524834756988,0.374768268178681,0.395343376262993,0.392489450668862,0.399895905157205,0.412814077279135,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100223720680394,,,,,,,,,,,,,,0.280199252801993,0.309422366080028,0.312740391384966,0.354351920834295,,,,
Bolivia,,,,,,,,,,,,0.236282180331163,0.25490012227712,0.263090949178701,0.274975782376628,0.310979000887144,0.332533843180875,0.347215671452354,0.367628914680754,0.395560514091192,0.456689201926,0.469020887310879,0.482725126560027,0.448348233406352,0.437740275117582,0.423016938403714,0.391277432130366,0.354632898440321,0.362421446160664,0.377473201240793,0.39207117199137,0.394957523180048,0.408716710007559,0.420122764773884,0.45276326183595,0.497675053624551,0.540029344212112,0.579327278833438,0.591545452732117,0.550081940806522,0.44987136534265,0.342423457027957,0.407905758744505,0.418254335825305,0.40323750069159,0.565673024728712,0.688963817309325,0.567544323203146,0.617864844560453,0.634814902959971,0.737362572180101,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62889394333639,1.51933681059583,1.13163775903171,1.00790834994163,0.414514366129487,0.448422585410153,0.527950746474544,0.800565780528735,0.962217462075663,0.920147729879009,1.17666089647827,1.12066071385696,1.16720989500999,1.16330193350441,1.27227440512112,1.33352993030153,1.4019010003205,1.40368543918896,1.5775687013071,1.60153468325228,1.70336813780518,
Botswana,,,,,,,,,,,,,,,,,,,,,,0.751243357224252,0.760872837141385,0.742586298181608,0.731353795124611,0.74846783445764,0.794138108840308,0.765575804667647,0.873450788766211,0.905548101435664,0.912328166606504,0.901156950483643,1.00878475606926,0.984409413580144,0.944868579824032,0.943037403895091,0.894222099594507,0.917463496770324,1.01801853871255,1.03095628404234,1.04462192641893,1.04657516129629,1.05988652195146,1.04191020623159,1.00267999393168,1.02791637988072,1.02881943074483,1.05454050240203,1.10067208165245,1.02042818443502,1.12780968088313,
Brazil,,,,,,,,,,,,0.708681854463681,0.741984697665397,0.793965424765669,0.825415914447944,0.842017765362385,0.862577281839446,0.871375889301632,0.905325216553714,0.94027035841235,0.9354342235692,0.876676568174484,0.870866155144357,0.872396775499384,0.908201764066449,0.949421198730268,0.973789718246978,0.992034343426864,0.986818647258047,0.988767197899264,0.937061202575291,0.93915043427737,0.933985009894709,0.942659701553689,0.97732809477486,0.995483260415401,1.03248394797685,1.06857177474511,1.07793311119062,1.08559141078499,1.07437364034629,1.07792356541732,1.09155841248621,1.09512327584127,1.14181461952483,1.157274861479,1.18493561848171,1.24003218789316,1.29654122948752,1.24331005340792,1.36254895510547,
