Adult (15+) literacy rate (%). Total,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
India,,,,,,,40.7635902223541,,,,,,,,,,48.2220748411133,,,,,,,,,,61.0145563688025,,,,,62.7544745734379,,,,,62.7544745734379
Indonesia,,,,,,67.312671922061,,,,,,,,,,81.5198524304659,,,,,,,,,,,,,,90.384789355174,,91.9822712715058,,92.192300708239,92.5816951242636,,92.8119075721191
Iran,,36.5184002676623,,,,,,,,,,52.3197554169018,,,,,65.53140001968,,,,,73.0602547122563,,,,,,77,,,82.4411966304572,82.3313175163483,,85.018766983634,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,74.0522011289752,,,,,,,,,,,78.48049
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,91.7514084779236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,96.4605426910086,,,,,,,,,,,,,,,,,,,,98.4166220467208,,,,,,,,,,98.97965
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,79.9201232980103,,,,,,,,,,,,87.04274
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,66.7968082652302,,,,,,,,,,,,,,,,,,,,,,,,89.8923242488958,,91.1307516377873,,92.1995768836011,,,92.5510428907168,95.9044529814974
Kazakhstan,,,,,,,,,,,,,,,97.5293835002603,,,,,,,,,,99.5126580772805,,,,,,,,,,99.7324110439465,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,82.2290753144124,,,,,,,72.1570281562013,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9982624282257,,,
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,59.5643924006983,,,,,67.5176581973803,,,,,74.49086751177,,,,,,,,,,78.3955033585722,,,,,,,,,,93.2744643451759,93.2821228883455,93.6641851484411,93.9062059463896,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,98.7016125901096,,,,,,,,,,99.2414048802828,,
Laos,,,,,,,,,,,,,,,,,,,,,60.2513331987559,,,,,69.583118888317,68.7343946461164,,,,72.7022591985263,,,,,,
Latvia,,,,,,,,,,,,,,,99.4523003528358,,,,,,,,,,,99.7465699355505,,,,,,,,,,,99.78424
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.6124388817029,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,86.2544348707552,,,,,,,,,75.8002023157404,,
Liberia,,,,,,,,,,32.1067661646571,,,,,,,,,,43.46086,,,,,,,,,,54.77813,,,42.941084070437,,,,
Libya,,,,,,,,,,60.1643933296659,,,,,,,,,,77.21518,,,,,,,,,,86.11627,,,,,,,89.5361
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,98.4412675026719,,,,,,,,,,,,99.6457534683578,,,,,,,,,,99.70355
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao, China",,,,,,,90.3781843022932,,,,,,,,,,,,,,,,,,,,91.2953720375117,,,,,93.4997545260003,,,,,95.6400408521411
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,94.0587463801134,,,,,,,,96.1289327575571,,,,,,,,,97.3752
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,70.6861695802117,,,,,,,,,64.4809056434688,,
Malawi,,,,,,,,,,,,,48.5366537251455,,,,,,,,,,,64.1342511384478,,,,,,,,,,,,61.3097241896233,
Malaysia,,,,,,69.5163324983461,,,,,,,,,,,82.9153712456078,,,,,,,,,88.6877571569162,,,,,,,,,,93.1178855805975,
Maldives,,,82.2999551540778,,,,,,,,92.2300510292779,,,,,96.0182563571244,,,,,96.3264955797786,,,,,96.3264955797786,,,,,,98.397897943952,,,,,
Mali,,9.43380700805728,,,,,,,,,,,,,,,,,,,,,,19.0449716644285,,,,,24,,,26.1765546402593,,,,31.0997539511672,33.4412123107456
Malta,,,,,,,,,,,87.9821734755061,,,,,,,,,,87.8686966410374,,,,,,,,,,92.3630900571129,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,51.2076779828527,,,,,,,,,,,58.61391
Mauritius,,,,,,,,,,,,,,,,79.8686597254603,,,,,,,,,,84.3030890427418,,,,,,,,,,,88.84715
Mexico,,,,,,82.9892418174613,,,,,,,,,,87.5561521067376,,,,,,,,,,90.5356247835029,,90.2746548689915,,90.9537447233051,91.6302657823961,91.7345197852393,92.795173446959,92.9255965233568,93.4418788439934,93.068938684774,93.5199847777717
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,96.3775481140644,,,,,,,,,,,96.6537966537966,,,,,,,,,,,98.97083
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,97.7688516976171,,,,,,,,,,,97.35589
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.45932
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,30.2578042189425,,,,,,,,,,,,41.5941054100178,,,,,,,,,,52.3062590298926,,,,55.1479200284787,56.0836721349639,,67.0841620313362
Mozambique,,,,,,27.1017783981201,,,,,,,,,,,,,,,,,38.7078765575308,,,,,,48.1588399180961,,,,,,50.583811360508,,
Myanmar,,,,,,,,,78.570414308659,,,,,,,,,,,,,,,,,89.9417645672737,,,,,,,,,,,92.67915
Namibia,,,,,,,,,,,,,,,,,75.8165832972845,,,,,,,,,,85.041281855132,,,,,,76.4865939351924,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,20.573673396727,,,,,,,,,,32.9755861301105,,,,,,,,,,48.6089715061678,,,,,,,,,,57.3691024409671
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,95.1035476610696,,,,,,,,,,,,,,,,,,,96.54464
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,76.677126363222,,,,78.0029801807711,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,9.39133115189453,,,,28.6724222051057,,,,,,
Nigeria,,,,,,,,,,,,,,,,,55.4467549046723,,,,,,,,,,,,54.7731785550634,,,,,51.0776583634164,,,
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.3633124338177,,,,,86.621143015384,,86.9389983982446,
Pakistan,,,,,,,25.7251929466605,,,,,,,,,,,,,,,,,42.6993097163736,,,,,,,49.8736448221783,54.1512107021965,,55.5263669974703,54.8926361490002,,
Palau,,,,,,91.921415633273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,88.0717369044898,,,,,,,,,,88.7798585140717,,,,,,,,,,91.8996150336846,,,,,,,,,,94.094123787642,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,57.3432559039992,,,,,,,,,,,62.42167
Paraguay,,,,,,,,78.4586128512355,,,,,,,,,,90.2718248653154,,,,,,,,,,,,,,,94.5582182312472,93.2920839884977,93.7542378773957,93.8709150924872,
Peru,,,,,,,81.9184640856342,,,,,,,,,,,,87.1506327280751,,,,,,,,,,,87.669848495425,87.9086735851189,88.6993418330323,89.5908130156422,,,,
Philippines,,,,,,83.3172325869012,,,,,,,,,,93.5738955208562,,,,,,,,,,92.6000635834521,,,92.5906900949412,,,,,95.4200993038814,,,
Poland,,,,98.7427409083636,,,,,,,,,,,,,,,,99.40273,,,,,,,,,,99.61789,,,,,,,99.73019
Portugal,,,,,,,79.4356106576687,,,,,,,,,,87.9478476484438,,,,,,,,,,,,,,,,,,,,95.43412
Puerto Rico,,,,,,86.7460553153972,,,,,,,,,,89.6225006326032,,,,,,,,,,,,,,90.53578,,,,,,,90.34799
Qatar,,,,,,,,,,,,75.635044064282,,,,,,,,,,,83.2621552733942,,,,,,,88.96238968375,,,93.0827407826684,93.9897325281058,94.7242884443825,96.2837397936123,
Romania,,,,,,,,,,,,,,,,,,96.7099826603067,,,,,,,,,,97.2975853096429,,,,,,,,,97.70193
Russia,,,,,,,,,,,,,,,97.9860548303032,,,,,,,,,,,,,99.4409677101739,,,,,,,,99.6842666997259,
Rwanda,,,,38.243425203765,,,,,,,,,,,,,57.8534877347415,,,,,,,,,64.8885951661631,,,,,,,,,,65.8522716593914,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,97.9443298969072,,,,,,,,,,,,,98.55447,,,,,,,98.83078
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,57.3242621620055,,,,,,,,,,73.2424159869233,,,,,,,,,,84.9085135339483,,,,,,,69.5363850909871,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,70.8216499204134,,,,,,,,79.3509441528748,,,,82.8577418357768,,,,,,,87.15616
Senegal,,,,,,,,,,,,,,26.8688537222954,,,,,,,,,,,,,,39.2752461892802,,,,41.8911516422057,,,49.6951265234569,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.01291
Seychelles,,,,,,,,,,,,,84.2292156775711,,,,,,,87.8111503729878,,,,,,,,91.8364633538308,,,,,,,,,91.83646335
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8267901312422,,,,,,,43.2831
Singapore,,,,,,82.90605183261,,,,,,,,,,89.095996713555,,,,,,,,,,92.5493990894846,,,,,,,,,,95.8573278136771,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,,,99.5245166688235,,,,,,,,,,,,,99.65247,,,,,,,99.69498
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,76.2004906508514,,,,,,,,,,,,,,,,82.4021023685345,,,,,,,,,,,88.7172506703813,,,,92.9831401688284
Spain,,,,,,,92.8097650552942,,,,,,,,,,96.494970524971,,,,,,,,,,,,,,97.7506917831217,,97.9388424191447,97.6306077427017,97.6792656081682,97.7488961482786,
Sri Lanka,,,,,,,86.777922012043,,,,,,,,,,,,,,,,,,,,90.6827545940468,,,,,90.8088259413198,,90.5579505067227,,91.181359335046,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,61.3458731122508,,,,,,,,,,,71.93777
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.5980576156954,,,,94.6209377407037,,94.6757505938525,
Swaziland,,55.3250372700061,,,,,,,,,,67.2393811533052,,,,,,,,,,,,,,81.6607018236346,,,,,,,,,,,87.8443
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,,,,,,,55.6545008102338,,,,,,,,,,,,,,,,,,,,,82.8882515294286,,80.8445192778245,,,,,,,84.05794
Tajikistan,,,,,,,,,,,,,,,97.6940229079283,,,,,,,,,,,99.4512482571115,,,,,,,,,,,99.70706
Tanzania,,,,,,,,,,,,,,59.1138035189359,,,,,,,,,,,,,,69.4309003827679,,,,,,,,67.8007009591475,
Thailand,,,,,,87.9817604242709,,,,,,,,,,,,,,,,,,,,92.6465442298362,,,,,93.5064757534066,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6,,,,,,50.6,,,58.3089827995937,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,53.1775994966179,,,,,,56.8883677008263,,,57.0933792309714,,60.4099446722917
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,99.5924583342271,,,,,,,,,,,,,,,,,,,,98.9053733090083,,,,,,,,,,99.0184555763794,,,,,
Trinidad and Tobago,,,,,,94.9703190338334,,,,,,,,,,96.9385526722309,,,,,,,,,,,,,,98.38787,,,,,,,98.83491
Tunisia,,,,,,,,,,48.1907019610824,,,,,,,,,,59.23281,,,,,,,,,,74.2969953775038,,,77.1904021460574,77.5611313875685,,79.1305762483504,
Turkey,61.6276834313126,,,,,65.6943398907008,,,,,75.9682405563055,,,,,79.2324526145933,,,,,,,,,,,,,,87.3654890487546,88.2290562036055,88.119386807061,88.6558975921975,,90.8167206508056,92.6605998451717,94.106091200538
Turkmenistan,,,,,,,,,,,,,,,,,,,,,98.7783167649831,,,,,,,,,,,,,,,,99.60858
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,56.1073818473847,,,,,,,,,,,68.1425103020109,,,,71.3731446401388,,,,73.2118799100156,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,99.430410411751,,,,,,,,,,99.71874
United Arab Emirates,53.514879351538,,,,,,,,,,71.235296822859,,,,,,,,,,,,,,,,,,,,90.0338450216017,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,93.861074188943,,,,,,,,,,95.3799755392484,,,,,,,,,,,96.7818093028728,,,,,,,,,,97.7896321077334,97.863891345954,98.1635607267232,98.2678983833718,98.0727062896711,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,98.6425834701697,,,,,,,,,,,99.43299
Vanuatu,,,,,52.8739224847009,,,,,,,,,,,,,,,68.44709,,,,,74,,,,,78.12244,,,,,,,83.22246
Venezuela,,,,,,,84.7322045934588,,,,,,,,,89.8252531161409,,,,,,,,,,,92.9798332620823,,,,,,95.1546396283597,,95.5119939195859,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,86.0628856047718,,,,,,,92.2799741732947,,93.4499661573454,93.8821354501683,94.0586525445104,94.5991675896729,94.9320112956783,95.26724224622
Vietnam,,,,,83.8259395236668,,,,,,,,,,87.5964506236685,,,,,,,,,,90.2782994783465,90.1561293643304,,,,,,,,,,,93.35947
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,37.0900040315913,,,,,,,,,,54.74552,,,,,,,65.26195
Zambia,,,,,,,,,,,,,,,,64.9982642112334,,,,,,,,,68.0017912098957,,,69.14921812881,,,,,61.4282878037335,,,,
Zimbabwe,,,,,,,,77.7941663170349,,,,,,,,,,83.5125797723276,,,,,,,,,,,,,,,,,,,83.5827144548937
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
