"","Country","AidRecieved","BirthByProS","PrimaryCompletion","ElecGenpCap","EnerUsepPsn","PrimaryExpd","SecndryExpd","TertiryExpd","DebtExternl","GPDpCapUSDl","MalnutLwWgt","AidRecdpPsn","BMImaleIndc","DroughtKill","EpdmcAffctd","EpdmcKilled","InfanttMort","GNItotalPPP","GovtCivlAid","HIVPlwha","HourCompens","HourCompns2","HoursprWeek","HealthExpnd","PovertyPPP","Ruralpovrty","TobaccoUse","AdultLitrcy","SEENRPRSCFM","SIPOVGINI","HealthExpGDP","TsunamiKill","UrbanPopulat","MaternalMort","MurderedMale","MurderFemale","OilConsumptn","SuicideFmale","SuicideMale","MaternalMort2"
"195","Samoa",0.939631563982461,0.796394485683987,0.649813429352672,NA,0.0172986560527491,0.180644637251629,0.027988670935943,0.109967430522844,0.806548698009499,0.0160643641619065,NA,0.495063728439707,0.247450714284696,NA,NA,NA,0.882454624027658,0.999963234087459,NA,NA,NA,NA,NA,0.0319384022842417,NA,NA,0.227368421052632,0.984369067505998,0.939030807094967,NA,0.288260653703704,NA,0.100554607508532,0.976569735136136,0.00411321916295793,0.984391802351336,NA,0.805701178349739,0.910132009764407,0.910746812386157
"196","San Marino",NA,NA,0.677960241656293,NA,NA,NA,NA,NA,NA,0.303542567385945,NA,NA,NA,NA,NA,NA,0.989628349178911,NA,NA,NA,NA,NA,NA,0.33995456388385,NA,NA,NA,NA,0.89895612322838,NA,0.328772558641975,NA,0.933927609125202,NA,0,1,NA,0.948678982954638,0.8214435354131,NA
"197","Sao Tome and Principe",0.954324109962139,0.80593849416755,0.813652783321215,NA,0.0150543119174163,NA,NA,NA,0.704988632356368,0.0041336590307097,NA,0.783303570881037,0.74015960745348,1,1,1,0.686257562662057,0.999993712994011,NA,0.999903570395397,NA,NA,NA,0.0151298611967938,0.430599369085173,NA,0.734736842105263,0.592158702531757,0.816719001951965,0.635987338690042,0.331409339506173,NA,0.580676306807975,0.754676791998518,0.125915651655122,0.918403003449182,NA,0.824177635111973,0.733147685702703,0.938069216757741
"198","Saudi Arabia",0.987954746120348,0.968186638388123,0.597902940878171,0.124235507369342,0.34265180279896,0.301475077321536,0.0598743519031862,NA,NA,0.0933374746829278,0.885135135135135,0.955523421416785,0.428529475915612,NA,1,1,0.950734658599827,0.954160730557543,NA,NA,NA,NA,NA,0.114019881317994,NA,NA,0.781052631578947,0.828062477615425,0.742086056182636,NA,0.153818963580247,NA,0.801172085503862,0.986942026301167,0.0825508580154202,0.967280023045564,0.372240982493338,0.945725590468452,0.847197355868026,0.979963570127505
"199","Senegal",0.822875357287162,0.489925768822906,0.290194230261734,NA,0.0146293543868066,0.252899784619032,0.0912941013217554,0.0964431263498254,0.906406105424377,0.00428569277171678,0.677927927927928,0.910226801069898,0.853129352460757,1,1,1,0.624027657735523,0.998375653021993,NA,0.990546327282078,NA,NA,NA,0.0110907484637955,0.365825446898002,0.54575411913815,0.865263157894737,0.326512414615939,0.815887295255877,0.352812271731191,0.238532549382716,NA,0.3551261900485,0.660214854602704,0.316255451023271,0.775320536316175,NA,0.821035798453632,0.861425705898848,0.664845173041894
"200","Serbia",0.862952875506936,0.9915164369035,0.658479692686986,NA,0.118611911869016,1,0.0424131998079237,0.0223247619737226,0.708462083935674,0.0106041163341649,0.963963963963964,0.90120182249788,0.52613650457396,NA,NA,NA,0.96542783059637,0.994467637512556,NA,0.999385707704011,NA,NA,NA,0.138162648494273,0.992744479495268,NA,0.2,0.973418949157495,0.806602732750573,0.0754808862916971,0.528465814197531,NA,0.510272588467756,0.991479903685868,0.0388930379308841,0.980419357712395,NA,0.765459842182551,0.675296598115299,0.990892531876138
"201","Serbia and Montenegro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0588269784861537,0.968036665153304,NA,0.710397397519778,0.654752005503026,NA
"202","Serbia excluding Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Seychelles",0.953315475210631,NA,1,NA,0.133624614372303,0.25471086021303,0.0534011992277384,NA,0.380580705408032,0.0872954151206727,NA,0.584732714195304,0.594035961572182,NA,1,1,0.917891097666379,0.999873753983603,NA,NA,NA,NA,NA,0.0921784358666551,0.98117770767613,NA,0.64421052631579,0.890725095866976,0.857438682848171,1,0.0990036709876543,0.999943499632748,0.479338063589007,0.864141507686609,0.0362787113607969,0.95482716330918,NA,0.997263146864782,0.700616691542762,NA
"204","Sierra Leone",0.891838139562725,0.389183457051962,0.40710810198489,NA,NA,0.100320545521723,0.0552196932049946,NA,0.862620318674884,0.00160355944350244,0.367117117117117,0.907412444024928,0.810079817982497,NA,0.988232692969095,0.891095451633568,0,0.999681996597373,NA,0.991260620649507,NA,NA,NA,0.0109326885735748,0.200525762355415,0.0570342205323194,NA,0.240664481221152,0.243469405075108,0.433893352812272,0.695553421604938,NA,0.318032602838153,0.430542693091313,0.421620897309171,0.41249008725233,NA,0.781822442327608,0.70812678265412,0.191256830601093
